# water and pfoah on sio2 slab

1996 atoms
8    atom types

Masses

1 1.0078       ! H of water
2 15.9994      ! O of water
3 12.011       ! C of pfoa
4 18.998403    ! F of pfoa
5 15.9994      ! O of pfoa
6 1.0078       ! H of pfoa
7 22.989769    ! Na of ion
8 35.453       ! Cl of ion

Atoms

400       1          0.2528    16.1200    9.5810     50.0000  
401       1          0.2528    17.7500    9.4850     50.0000  
402       2         -0.4105    16.9600    9.9570     49.6100  
403       1          0.2528    17.7940    1.8330     44.5940  
404       1          0.2528    17.7990    2.1590     42.9940  
405       2         -0.4105    18.3530    1.8460     43.7650  
406       1          0.2528    18.2630    4.0310     21.1500  
407       1          0.2528    18.5300    2.4460     21.4380  
408       2         -0.4105    18.9640    3.3400     21.3240  
409       1          0.2528    4.4530     9.1650     48.6420  
410       1          0.2528    5.5220     8.9390     47.4290  
411       2         -0.4105    5.3060     8.7140     48.3790  
412       1          0.2528    14.3660    14.1330    41.8580  
413       1          0.2528    13.8560    14.6740    43.3120  
414       2         -0.4105    13.8100    13.9170    42.6610  
415       1          0.2528    19.6640    1.2220     15.0340  
416       1          0.2528    19.1800    2.0570     13.7160  
417       2         -0.4105    19.2140    2.0560     14.7150  
418       1          0.2528    7.2710     8.0610     24.5300  
419       1          0.2528    6.2770     6.9210     25.1450  
420       2         -0.4105    6.5490     7.8810     25.1980  
421       1          0.2528    3.8970     17.6900    34.7430  
422       1          0.2528    4.1540     17.9450    36.3350  
423       2         -0.4105    3.5230     17.5630    35.6610  
424       1          0.2528    13.2900    5.3810     41.1220  
425       1          0.2528    12.8380    4.2090     40.0790  
426       2         -0.4105    13.0070    5.1890     40.1820  
427       1          0.2528    7.2970     17.0620    32.4100  
428       1          0.2528    6.5660     17.2720    30.9650  
429       2         -0.4105    6.7410     16.6230    31.7040  
430       1          0.2528    1.5750     2.9310     12.3370  
431       1          0.2528    0.3050     1.9400     12.0690  
432       2         -0.4105    0.8860     2.6500     11.6700  
433       1          0.2528    4.3640     3.0760     27.5450  
434       1          0.2528    3.7070     1.6450     27.9780  
435       2         -0.4105    3.5070     2.5800     27.6890  
436       1          0.2528    9.7570     15.4690    32.0000  
437       1          0.2528    10.2830    14.4030    30.8810  
438       2         -0.4105    10.5040    15.2430    31.3750  
439       1          0.2528    3.6370     5.1310     24.7750  
440       1          0.2528    2.5360     6.3010     25.0670  
441       2         -0.4105    2.9010     5.4270     25.3850  
442       1          0.2528    5.6130     16.3750    12.6880  
443       1          0.2528    5.5210     17.6670    13.6830  
444       2         -0.4105    5.1700     17.2590    12.8400  
445       1          0.2528    8.3820     21.6220    42.5430  
446       1          0.2528    7.4490     21.1990    43.8140  
447       2         -0.4105    7.5760     21.1030    42.8280  
448       1          0.2528    10.0980    14.9220    34.6380  
449       1          0.2528    10.6560    15.9430    35.7840  
450       2         -0.4105    9.8500     15.6640    35.2630  
451       1          0.2528    12.2090    17.4690    11.7000  
452       1          0.2528    12.0070    15.8810    11.3750  
453       2         -0.4105    12.5040    16.7100    11.1200  
454       1          0.2528    19.6640    10.1960    32.7020  
455       1          0.2528    19.6660    10.8040    34.2170  
456       2         -0.4105    19.0890    10.4740    33.4710  
457       1          0.2528    1.0110     13.9750    46.0350  
458       1          0.2528    -0.0000    15.2400    45.8200  
459       2         -0.4105    0.0590     14.2440    45.8880  
460       1          0.2528    0.2380     18.5960    44.6750  
461       1          0.2528    1.6380     19.3860    44.9650  
462       2         -0.4105    1.1610     18.7750    44.3340  
463       1          0.2528    1.2420     12.5520    33.5920  
464       1          0.2528    0.0000     13.6120    33.5710  
465       2         -0.4105    0.2520     12.6480    33.4870  
466       1          0.2528    9.2850     7.2520     23.2110  
467       1          0.2528    10.6970    6.5260     23.5940  
468       2         -0.4105    9.9920     7.1590     23.9120  
469       1          0.2528    3.0930     5.2220     33.5060  
470       1          0.2528    1.7190     5.7300     34.2260  
471       2         -0.4105    2.3870     5.9300     33.5100  
472       1          0.2528    7.1460     16.8670    10.1060  
473       1          0.2528    6.4100     18.0720    10.9280  
474       2         -0.4105    7.0700     17.3240    10.9930  
475       1          0.2528    2.4020     5.8640     47.5400  
476       1          0.2528    3.7850     5.3370     46.8500  
477       2         -0.4105    2.8030     5.4680     46.7140  
478       1          0.2528    3.0070     12.8760    48.9310  
479       1          0.2528    4.4600     13.5440    48.6010  
480       2         -0.4105    3.9840     12.6920    48.8160  
481       1          0.2528    7.9180     19.4260    34.0680  
482       1          0.2528    7.9560     17.8800    34.5900  
483       2         -0.4105    7.3630     18.6210    34.2770  
484       1          0.2528    9.1760     15.5960    26.4420  
485       1          0.2528    7.9900     14.6340    25.8640  
486       2         -0.4105    8.9090     14.6500    26.2580  
487       1          0.2528    14.4670    18.7240    15.6910  
488       1          0.2528    14.4330    20.3500    15.8330  
489       2         -0.4105    14.9840    19.5290    15.9810  
490       1          0.2528    18.0340    5.5280     43.4010  
491       1          0.2528    18.2570    4.6400     44.7530  
492       2         -0.4105    18.7040    5.2280     44.0800  
493       1          0.2528    11.9160    12.4110    49.8020  
